Work Order Id,Std Job No,WO Completed Status,WO Create Date,Ads Building Number,Ads Eastings,Ads Northings,Ads Operation Area,Ads Osapr,Street postcode,Ads Post Town,Ads Region,Ads Water Operational Area,Ads Water Supply Zone
5993496,WRNW17,All Complete with Comments                        ,31/05/2017,,"320,283.00","694,828.00",North East,APH50ADHRF14EQX0X9,KY50AA,LOCHGELLY,East,Glendevon WOA,Lochgelly Spion Kop WSZ
5993540,WRNW17,Complete (Partial)                                ,31/05/2017,33,"392,647.00","805,388.00",North East,APE69H855VN424T0AM,AB106RE,ABERDEEN,East,Invercannie & Mannofield WOA,Airyhall WSZ
5993950,WRNW17,Complete (Partial)                                ,31/05/2017,29,"257,413.00","660,769.00",South West,APAG8Y8G5QC4W5Q0XK,G432QB,GLASGOW,West,Milngavie WOA,M2 Mugdock WSZ
5994782,WRNW17,All Complete with Comments                        ,01/06/2017,62,"257,564.00","656,633.00",South West,APCXD08G5Q54U4Q0N3,G768DN,GLASGOW,West,Picketlaw WOA,High Borland WSZ
5995025,WRNW17,Complete (Partial)                                ,01/06/2017,19,"258,520.00","661,574.00",South West,APJ28E8G5T14XJQGHK,G429DW,GLASGOW,West,Milngavie WOA,M2 Mugdock WSZ
5995355,WRNW17,All Complete with Comments                        ,01/06/2017,33,"392,647.00","805,388.00",North East,APE69H855VN424T0AM,AB106RE,ABERDEEN,East,Invercannie & Mannofield WOA,Airyhall WSZ
5995370,WRNW17,Complete (Partial)                                ,01/06/2017,3,"344,273.00","676,411.00",South East,AP5X6M8D5X745RY0FT,EH320LN,LONGNIDDRY,South,Castle Moffat WOA,Kingslaw WSZ
5995457,WRNW17,All Complete with Comments                        ,01/06/2017,3,"323,310.00","674,859.00",South East,APYM208155Q441NGL1,EH42HZ,EDINBURGH,South,Glencorse WOA,Craigleith WSZ
5995602,WRNW17,All Complete with Comments                        ,01/06/2017,29,"257,413.00","660,769.00",South West,APAG8Y8G5QC4W5Q0XK,G432QB,GLASGOW,West,Milngavie WOA,M2 Mugdock WSZ
5995793,WRNW17,Complete (Partial)                                ,01/06/2017,,"355,855.00","634,496.00",South East,APX0A78H55A5GBE0L3,TD69BZ,MELROSE,South,Howden WOA,Eildon WSZ
5995960,WRNW17,All Complete with Comments                        ,02/06/2017,,"314,993.00","651,749.00",South East,AP2JHX895M14RQYGVG,EH467EE,WEST LINTON,South,Rosebery (Borders) WOA,Wakefield WSZ
5996580,WRNW17,All Complete with Comments                        ,02/06/2017,108,"392,236.00","806,833.00",North East,APQQ9G855VC43TTGDM,AB155NP,ABERDEEN,East,Invercannie & Mannofield WOA,Slopefield WSZ
5996784,WRNW17,Complete (Partial)                                ,02/06/2017,41,"259,492.00","660,912.00",South West,APCRBH8V5VE4W7QGQ3,G444JN,GLASGOW,West,Balmore West Region WOA,Castlemilk Low WSZ
5999642,WRNW17,All Complete with Comments                        ,05/06/2017,16,"288,482.00","681,451.00",South West,AP5M1W8G54J478TGMM,FK27JF,FALKIRK,West,Carron Valley WOA,Woodend WSZ
6000059,WRNW17,Complete (Partial)                                ,05/06/2017,480,"279,010.00","654,302.00",South West,AP4FHB885J24T0Y0HL,ML20JA,WISHAW,South,Daer WOA,Gair WSZ
6000091,WRNW17,All Complete with Comments                        ,05/06/2017,27,"254,675.00","672,571.00",South West,AP5WAQ8G52H43WQ0LK,G613PA,GLASGOW,West,Milngavie WOA,M1 Mugdock WSZ
6000521,WRNW17,All Complete with Comments                        ,06/06/2017,37,"342,108.00","865,552.00",North East,APR8LM8M5TF50G901J,AB561JJ,BUCKIE,East,Turriff WOA,Buckie Rochomie WSZ
6000555,WRNW17,All Complete with Comments                        ,06/06/2017,,"254,666.00","659,483.00",South West,APTDDL8852G4WHQG4K,G468PB,GLASGOW,West,Milngavie WOA,C1 Gorbals Thornliebank WSZ
