Work Order Id,Std Job No,WO Completed Status,WO Create Date,Ads Building Number,Ads Eastings,Ads Northings,Ads Operation Area,Ads Osapr,Street postcode,Ads Post Town,Ads Region,Ads Water Operational Area,Ads Water Supply Zone
17598,WRNW17,All Complete                                      ,08/04/2004,13,"211,416.00","774,804.00",North West,APHTGJ8X5X1540903G,PH336NS,FORT WILLIAM,North,Camisky Wellfield WOA,Cowhill WSZ
17613,WRNW17,All Complete with Comments                        ,08/04/2004,,"345,995.00","644,362.00",South East,APJ14X8J5HJ5M5A0MT,TD12QT,GALASHIELS,South,Manse Street Galashiels WOA,Stow WSZ
17631,WRNW17,All Complete                                      ,08/04/2004,11,"341,551.00","727,292.00",North East,APXE0F875RC4DTU05J,DD68HL,NEWPORT-ON-TAY,East,LHills & GFarg & Glendevon WOA,Newport WSZ
21435,WRNW17,All Complete                                      ,09/04/2004,119,"262,575.00","660,849.00",South West,APAQD18G5JF4W6QGW3,G733PH,GLASGOW,West,Milngavie WOA,C2 Craigmaddie WSZ
21934,WRNW17,All Complete                                      ,12/04/2004,1,"336,254.00","950,204.00",North West,APQUAQ825EJ5QYE0DT,KW15NN,WICK,North,Loch Calder WOA,Toftcarl WSZ
22543,WRNW17,All Complete                                      ,14/04/2004,23,"308,722.00","605,329.00",South East,AP49GW8H5R9523E0B0,DG109AR,MOFFAT,South,Moffat WOA,Chapelhill WSZ
22694,WRNW17,All Complete                                      ,14/04/2004,,"325,635.00","676,984.00",South East,AP9163DJ5T9452U0JR,EH64LQ,EDINBURGH,South,Marchbank WOA,Marchbank Hermiston WSZ
22832,WRNW17,All Complete                                      ,14/04/2004,,"365,767.00","1,028,376.00",North West,APEB7X8D5865DBFGFV,KW172AR,ORKNEY,East,Stronsay WOA,Whitehall WSZ
22899,WRNW17,All Complete with Comments                        ,14/04/2004,,"278,925.00","679,261.00",South West,APF8J38Q5JE767X0ML,FK41HN,BONNYBRIDGE,West,Carron Valley WOA,Carron Valley to Millhall WSZ
23227,WRNW17,Cancelled with comments                           ,15/04/2004,18,"324,718.00","674,852.00",South East,APWJEB8D5Q0441T07R,EH35BW,EDINBURGH,South,Glencorse WOA,Stockbridge WSZ
23286,WRNW17,Cancelled with comments                           ,15/04/2004,1,"321,419.00","674,587.00",South East,APRD208H51J44WNGU1,EH43RY,EDINBURGH,South,Glencorse WOA,Blackhall/Davidson's Mains WSZ
23288,WRNW17,Cancelled with comments                           ,15/04/2004,34,"322,413.00","670,833.00",South East,APWQ1B8153G422NG09,EH141LP,EDINBURGH,South,Glencorse WOA,Gorgie WSZ
23294,WRNW17,Cancelled with comments                           ,15/04/2004,9,"326,395.00","675,163.00",South East,APREER8R6UR446T09H,EH74PH,EDINBURGH,South,Glencorse WOA,North East Edinburgh WSZ
23296,WRNW17,Cancelled with comments                           ,15/04/2004,98,"341,027.00","673,160.00",South East,AP94FK825QC437U0GT,EH331JW,TRANENT,South,Castle Moffat WOA,Penston WSZ
23299,WRNW17,Cancelled with comments                           ,15/04/2004,,"351,705.00","673,826.00",South East,APKH6M8W5CP44HY0AU,EH414BT,HADDINGTON,South,Castle Moffat WOA,Longplantings WSZ
23304,WRNW17,Cancelled with comments                           ,15/04/2004,4,"344,163.00","668,870.00",South East,AP736N8D5X0414Y0AT,EH345AD,TRANENT,South,Rosebery (Ed & Lothian) WOA,Fountainhall WSZ
23307,WRNW17,All Complete with Comments                        ,15/04/2004,36,"322,419.00","670,833.00",South East,AP9Q1B8153H422NG09,EH141LP,EDINBURGH,South,Glencorse WOA,Gorgie WSZ
23310,WRNW17,Cancelled with comments                           ,15/04/2004,25,"324,841.00","671,408.00",South East,AP92B2815Q652DR069,EH104AP,EDINBURGH,South,Glencorse WOA,Comiston Rd North WSZ
23566,WRNW17,All Complete with Comments                        ,15/04/2004,,"370,017.00","658,310.00",South East,AP6VAM8H51A5VYFGWC,TD113NX,DUNS,South,Rawburn WOA,Rawburn WSZ
23617,WRNW17,All Complete                                      ,15/04/2004,16,"266,693.00","845,381.00",North West,APV0HA8T5AF6NM4GFV,IV11PL,INVERNESS,North,Inverness WOA,Inverness WSZ
23622,WRNW17,All Complete                                      ,15/04/2004,13,"252,120.00","845,882.00",North West,APGWFM8F5DH5NV902K,IV47EG,BEAULY,North,Assynt WOA,Mulbuie WSZ
23946,WRNW17,All Complete                                      ,16/04/2004,35,"332,172.00","839,931.00",North East,APLWGB8M5NJ5KY6GUR,AB554AH,KEITH,East,Spey Badentinan WOA,Dufftown New WSZ
23980,WRNW17,All Complete                                      ,16/04/2004,7,"368,220.00","864,391.00",North East,APV2LM855DF5YX9GAL,AB451EJ,BANFF,East,Turriff WOA,Banff Gallowhill Gpn N WSZ
24852,WRNW17,All Complete                                      ,17/04/2004,,"326,587.00","842,773.00",North East,APNA57835UM5LCF05R,AB389PN,ABERLOUR,East,Spey Badentinan WOA,Aberlour - Lagahorie WSZ
24853,WRNW17,All Complete                                      ,17/04/2004,37,"316,912.00","818,668.00",North East,APEGJL8K59F79HF0YR,AB379EX,BALLINDALLOCH,East,Blairnamarrow WOA,Blairnamarrow (U.V.) WSZ
24936,WRNW17,All Complete                                      ,19/04/2004,19,"345,155.00","1,010,617.00",North West,AP6VJ58H8GE75MXGET,KW151JQ,KIRKWALL,East,Kirbister & Boardhouse WOA,Burgir Hill WSZ
25097,WRNW17,Cancelled with comments                           ,19/04/2004,8,"321,689.00","862,714.00",North West,APJWLL8M5235X390XH,IV301LJ,ELGIN,East,Glenlatterach & Badentinan WOA,Morriston WSZ
25148,WRNW17,Cancelled with comments                           ,19/04/2004,2,"325,015.00","674,489.00",South East,APHWEB8W7QK44UT0ER,EH36SH,EDINBURGH,South,Glencorse WOA,Edinburgh Centre West WSZ
25336,WRNW17,All Complete                                      ,19/04/2004,26,"370,641.00","864,296.00",North East,AP2KLM8M51P5YV9GHL,AB441XS,MACDUFF,East,Turriff WOA,Macduff - Law Of Doune WSZ
25484,WRNW17,All Complete                                      ,20/04/2004,78,"323,309.00","871,205.00",North West,APMLLL8M55Q5289GWH,IV316BW,LOSSIEMOUTH,East,Spey Badentinan WOA,Lossiemouth (Coulardhill)Low WSZ
25627,WRNW17,All Complete with Comments                        ,20/04/2004,8,"282,942.00","572,829.00",South East,APWX878W59P531AGY5,DG28RB,DUMFRIES,South,Killylour WOA,Lochenkit CWT WSZ
25705,WRNW17,All Complete                                      ,20/04/2004,4,"323,299.00","871,167.00",North West,AP3Y578K55Q527FGLR,IV316BL,LOSSIEMOUTH,East,Spey Badentinan WOA,Lossiemouth (Coulardhill)Low WSZ
25796,WRNW17,All Complete                                      ,20/04/2004,104,"276,476.00","562,232.00",South East,APQC7Q8D5W35XVA0U4,DG71EH,CASTLE DOUGLAS,South,Lochinvar WOA,Carlochan WSZ
26015,WRNW17,All Complete                                      ,20/04/2004,29,"278,074.00","855,407.00",North West,AP6A9E8L5GX5TFF0QC,IV27QB,INVERNESS,North,Inverness WOA,Fort George WSZ
26097,WRNW17,All Complete                                      ,21/04/2004,18,"324,718.00","674,852.00",South East,APWJEB8D5Q0441T07R,EH35BW,EDINBURGH,South,Glencorse WOA,Stockbridge WSZ
26098,WRNW17,All Complete                                      ,21/04/2004,1,"321,419.00","674,587.00",South East,APRD208H51J44WNGU1,EH43RY,EDINBURGH,South,Glencorse WOA,Blackhall/Davidson's Mains WSZ
26099,WRNW17,All Complete                                      ,21/04/2004,34,"322,413.00","670,833.00",South East,APWQ1B8153G422NG09,EH141LP,EDINBURGH,South,Glencorse WOA,Gorgie WSZ
26102,WRNW17,All Complete                                      ,21/04/2004,9,"326,395.00","675,163.00",South East,APREER8R6UR446T09H,EH74PH,EDINBURGH,South,Glencorse WOA,North East Edinburgh WSZ
26103,WRNW17,All Complete                                      ,21/04/2004,98,"341,027.00","673,160.00",South East,AP94FK825QC437U0GT,EH331JW,TRANENT,South,Castle Moffat WOA,Penston WSZ
26104,WRNW17,All Complete                                      ,21/04/2004,,"351,705.00","673,826.00",South East,APKH6M8W5CP44HY0AU,EH414BT,HADDINGTON,South,Castle Moffat WOA,Longplantings WSZ
26105,WRNW17,All Complete                                      ,21/04/2004,4,"344,163.00","668,870.00",South East,AP736N8D5X0414Y0AT,EH345AD,TRANENT,South,Rosebery (Ed & Lothian) WOA,Fountainhall WSZ
26106,WRNW17,All Complete                                      ,21/04/2004,36,"322,419.00","670,833.00",South East,AP9Q1B8153H422NG09,EH141LP,EDINBURGH,South,Glencorse WOA,Gorgie WSZ
26107,WRNW17,All Complete                                      ,21/04/2004,25,"324,841.00","671,408.00",South East,AP92B2815Q652DR069,EH104AP,EDINBURGH,South,Glencorse WOA,Comiston Rd North WSZ
26109,WRNW17,All Complete                                      ,21/04/2004,2,"325,015.00","674,489.00",South East,APHWEB8W7QK44UT0ER,EH36SH,EDINBURGH,South,Glencorse WOA,Edinburgh Centre West WSZ
26285,WRNW17,All Complete                                      ,21/04/2004,5,"359,073.00","865,770.00",North East,AP3MLM855U450K9GRK,AB452RJ,BANFF,East,Turriff WOA,Portsoy HL Damheads WSZ
26964,WRNW17,All Complete                                      ,22/04/2004,88,"318,157.00","697,066.00",North East,AP5MG48R5B74FVW0BH,KY58HP,LOCHGELLY,East,GLENFARG WOA,Navitie WSZ
27113,WRNW17,All Complete with Comments                        ,22/04/2004,29,"308,588.00","605,296.00",South East,APTQGW8H5QG522EGA0,DG109DP,MOFFAT,South,Moffat WOA,Chapelhill WSZ
27223,WRNW17,All Complete with Comments                        ,22/04/2004,,"280,511.00","659,579.00",South West,APGLLTAGEML4VDW0EL,ML15LR,MOTHERWELL,South,Daer WOA,Greenhill WSZ
27225,WRNW17,All Complete with Comments                        ,22/04/2004,1,"231,751.00","674,291.00",South West,APFRB8886N844QUG3H,PA145LD,PORT GLASGOW,West,Dougliehill WOA,Dougliehill Gravity WSZ
27352,WRNW17,All Complete                                      ,22/04/2004,,"355,734.00","710,200.00",North East,APCC7X8Q54K44FX0FB,KY168QG,ST. ANDREWS,East,Glenfarg & Glendevon WOA,Dunicher WSZ
28192,WRNW17,All Complete                                      ,26/04/2004,22,"211,127.00","774,673.00",North West,APFQGJ8X5WY54X9G3G,PH336NA,FORT WILLIAM,North,Camisky Wellfield WOA,Cowhill WSZ
29771,WRNW17,All Complete                                      ,28/04/2004,,"409,481.00","836,883.00",North East,APJ9CX8R5TQ5JGAGQG,AB420NR,PETERHEAD,East,Forehill WOA,Cruden Bay - Chapelhill WSZ
30293,WRNW17,All Complete                                      ,29/04/2004,9,"322,371.00","862,829.00",North West,AP2LLL8M53X5X59GYH,IV301XH,ELGIN,East,Glenlatterach & Badentinan WOA,Morriston WSZ
30356,WRNW17,All Complete with Comments                        ,29/04/2004,123,"228,929.00","682,853.00",South West,AP3JMF806GQ58XAG01,G848DD,HELENSBURGH,West,Blairlinnans WOA,Helensburgh Gravity WSZ
30393,WRNW17,All Complete                                      ,29/04/2004,16,"252,086.00","845,872.00",North West,APCQFM8F5DY5NV902K,IV47EG,BEAULY,North,Assynt WOA,Mulbuie WSZ
30473,WRNW17,All Complete                                      ,29/04/2004,7,"342,973.00","865,560.00",North East,APRCLM855UM50G902J,AB561LN,BUCKIE,East,Turriff WOA,Buckie Rochomie WSZ
30505,WRNW17,All Complete with Comments                        ,29/04/2004,,"343,036.00","850,056.00",North East,APN5438W5V95QX70H2,AB555AU,KEITH,East,Herricks WOA,Keith Herricks WSZ
30572,WRNW17,All Complete                                      ,29/04/2004,,"348,994.00","699,976.00",North East,AP544N8H5PX4GAU0P2,KY91DN,LEVEN,East,Glenfarg & Glendevon WOA,Carnbee WSZ
31042,WRNW17,All Complete with Comments                        ,30/04/2004,75,"252,708.00","662,373.00",South West,APEHAR805EN4XXQGJK,G535AX,GLASGOW,West,Milngavie WOA,M5 Mugdock WSZ
31420,WRNW17,Bulk Closure                                      ,04/05/2004,7,"320,862.00","862,641.00",North West,AP0RLL8550G5X29GXH,IV301SA,ELGIN,East,Glenlatterach & Badentinan WOA,Morriston WSZ
31581,WRNW17,All Complete                                      ,04/05/2004,10,"393,556.00","805,011.00",North East,APA998855XY42XTGHM,AB117UR,ABERDEEN,East,Invercannie & Mannofield WOA,Mannofield WSZ
31843,WRNW17,All Complete                                      ,04/05/2004,19,"392,864.00","808,353.00",North East,AP0G9A8M5W444JTG4M,AB244EQ,ABERDEEN,East,Invercannie & Mannofield WOA,Slopefield WSZ
31864,WRNW17,All Complete                                      ,04/05/2004,19,"392,837.00","808,381.00",North East,APCX9A8M5W244JTG4M,AB244ER,ABERDEEN,East,Invercannie & Mannofield WOA,Slopefield WSZ
32223,WRNW17,All Complete                                      ,05/05/2004,,"186,278.00","730,735.00",North West,APG6868450Q5FGFGLD,PA345JU,OBAN,North,Tullich WOA,Oban North WSZ
32314,WRNW17,All Complete                                      ,05/05/2004,,"394,357.00","807,718.00",North East,APAK978M5G1438T0DM,AB245QP,ABERDEEN,East,Invercannie & Mannofield WOA,Mannofield WSZ
32389,WRNW17,All Complete                                      ,05/05/2004,18,"386,875.00","785,978.00",North East,APHCJY8J51W59F3GE5,AB392HQ,STONEHAVEN,East,Invercannie WOA,Megray WSZ
32455,WRNW17,All Complete                                      ,05/05/2004,6,"394,440.00","807,017.00",North East,APGL978M5G643WTGDM,AB245LJ,ABERDEEN,East,Invercannie & Mannofield WOA,Mannofield WSZ
32957,WRNW17,All Complete                                      ,06/05/2004,8,"393,222.00","805,594.00",North East,APEDAW835XA427W0MW,AB106PX,ABERDEEN,East,Invercannie & Mannofield WOA,Mannofield WSZ
33715,WRNW17,All Complete                                      ,07/05/2004,14,"383,884.00","800,949.00",North East,APTU908K5BJ40XT03W,AB140TX,PETERCULTER,East,Invercannie & Mannofield WOA,Ardbeck WSZ
34146,WRNW17,All Complete                                      ,10/05/2004,429,"392,015.00","808,936.00",North East,APXL9A8M5UX44UT03M,AB244EB,ABERDEEN,East,Invercannie & Mannofield WOA,Rosehill Aberdeen WSZ
34411,WRNW17,All Complete                                      ,10/05/2004,,"210,464.00","773,922.00",North West,APY1818V5V554KF0KQ,PH336BD,FORT WILLIAM,North,Camisky Wellfield WOA,Cowhill WSZ
34591,WRNW17,All Complete                                      ,10/05/2004,5,"349,266.00","868,465.00",North East,APYPLM8M58E51W9GGK,AB564NH,BUCKIE,East,Turriff WOA,Portknockie WSZ
34858,WRNW17,All Complete                                      ,10/05/2004,8,"266,992.00","844,871.00",North West,AP03BJ8F5AK5MDEG4C,IV23HW,INVERNESS,North,Inverness WOA,Inverness WSZ
34861,WRNW17,All Complete                                      ,10/05/2004,78,"392,709.00","806,088.00",North East,APA49G855WA42FT0FM,AB252DB,ABERDEEN,East,Invercannie & Mannofield WOA,Airyhall WSZ
35137,WRNW17,All Complete                                      ,11/05/2004,,"266,508.00","845,591.00",North West,APQBAU8Y59L5NQEGFL,IV11LX,INVERNESS,North,Inverness WOA,Inverness WSZ
35179,WRNW17,All Complete                                      ,11/05/2004,19,"278,724.00","867,565.00",North West,AP9NEC8E5HG50F9GVC,IV118YE,CROMARTY,North,Assynt WOA,Cromarty WSZ
35298,WRNW17,All Complete with Comments                        ,11/05/2004,8,"332,608.00","695,876.00",North East,AP120T8R5PX4EAU0TH,KY14LY,KIRKCALDY,East,GLENFARG WOA,Cadham WSZ
35305,WRNW17,All Complete with Comments                        ,11/05/2004,6,"360,992.00","707,340.00",North East,AP0M7X885YC432XG4B,KY103RW,ANSTRUTHER,East,Glenfarg & Glendevon WOA,Crail WSZ
35311,WRNW17,All Complete with Comments                        ,11/05/2004,42,"324,918.00","701,829.00",North East,APANDT8P5QW40CWG9H,KY63DJ,GLENROTHES,East,Glenfarg & Glendevon WOA,Whitehill WSZ
35319,WRNW17,All Complete                                      ,11/05/2004,4,"332,373.00","840,088.00",North East,AP0CGB855P05K26GVR,AB554AY,KEITH,East,Spey Badentinan WOA,Dufftown New WSZ
35722,WRNW17,All Complete                                      ,11/05/2004,6,"336,428.00","951,416.00",North West,APQCDX835FC5RK90BT,KW14DT,WICK,North,Loch Calder WOA,Toftcarl WSZ
36482,WRNW17,All Complete with Comments                        ,12/05/2004,,"350,388.00","614,558.00",South East,AP8F7F8H5A557KA053,TD99HD,HAWICK,South,Roberton WOA,Crumhaugh Hill WSZ
36737,WRNW17,All Complete                                      ,13/05/2004,25,"265,920.00","845,390.00",North West,AP07FA8Y58G5NM90VC,IV35QJ,INVERNESS,North,Inverness WOA,Inverness WSZ
36929,WRNW17,All Complete                                      ,13/05/2004,13,"276,775.00","562,613.00",South East,APGA7Q8D5WN5X2AGU4,DG71HX,CASTLE DOUGLAS,South,Lochinvar WOA,Carlochan WSZ
36932,WRNW17,All Complete with Comments                        ,13/05/2004,,"302,614.00","568,567.00",South East,APFCF2865DB51YE01Q,DG14RP,DUMFRIES,South,Kettleton WOA,Highmains WSZ
36934,WRNW17,All Complete with Comments                        ,13/05/2004,3,"247,512.00","558,997.00",South East,APGTAT8D5LH5V9EGK2,DG87HY,NEWTON STEWART,South,Penwhirn WOA,Creetown WSZ
36936,WRNW17,All Complete with Comments                        ,13/05/2004,1,"297,965.00","576,532.00",South East,APUT7R8W5P255UA045,DG13AP,DUMFRIES,South,Killylour & Terregles WOA,Clunie WSZ
36940,WRNW17,All Complete with Comments                        ,13/05/2004,,"284,718.00","594,607.00",South East,APP7F68V5D65ENE0QW,DG34BZ,THORNHILL,South,Kettleton WOA,Kettleton CWT WSZ
36941,WRNW17,All Complete with Comments                        ,13/05/2004,21,"278,136.00","609,970.00",South East,APJR838Q5GU54BA0FL,DG46BW,SANQUHAR,South,Afton South Region WOA,Sanquhar Burgh WSZ
36942,WRNW17,All Complete with Comments                        ,13/05/2004,1,"276,935.00","558,612.00",South East,APETAX8D5X05V3E084,DG71SN,CASTLE DOUGLAS,South,Lochinvar WOA,Lochinvar WSZ
37068,WRNW17,All Complete                                      ,13/05/2004,197,"264,263.00","654,732.00",South West,APN58B875MQ4T7U02U,G743DT,GLASGOW,South,Daer WOA,East Rogerton WSZ
37076,WRNW17,All Complete                                      ,13/05/2004,69,"392,673.00","806,036.00",North East,AP2A9G855W842ET0EM,AB252DD,ABERDEEN,East,Invercannie & Mannofield WOA,Airyhall WSZ
37121,WRNW17,All Complete with Comments                        ,13/05/2004,6,"283,388.00","561,217.00",South East,APG97H8V5AH5WCA0BD,DG54AE,DALBEATTIE,South,Lochinvar WOA,Caigton WSZ
37533,WRNW17,All Complete with Comments                        ,14/05/2004,43,"359,117.00","677,370.00",South East,APWWHQ8H5U6458U0G3,EH403AA,EAST LINTON,South,Castle Moffat WOA,Traprainlaw WSZ
37614,WRNW17,All Complete with Comments                        ,14/05/2004,,"278,626.00","570,088.00",South East,APD7958P5H652QF0PL,DG73HD,CASTLE DOUGLAS,South,Killylour WOA,Durhamhill WSZ
37621,WRNW17,All Complete                                      ,14/05/2004,,"278,626.00","570,088.00",South East,APD7958P5H652QF0PL,DG73HD,CASTLE DOUGLAS,South,Killylour WOA,Durhamhill WSZ
37961,WRNW17,All Complete                                      ,17/05/2004,15,"311,753.00","868,864.00",North West,APDY578K5XN513FGCQ,IV305UX,ELGIN,East,Glenlatterach & Badentinan WOA,Clarklyhill WSZ
38448,WRNW17,All Complete                                      ,17/05/2004,,"369,887.00","838,540.00",North East,APX6DN8D5075JAA0J4,AB518XR,INVERURIE,East,Turriff WOA,Brackans Turriff WSZ
38726,WRNW17,All Complete                                      ,18/05/2004,,"313,449.00","725,642.00",North East,APJMDK825J05C0E0B0,PH26JL,PERTH,East,Perth (Gowans Terrace) WOA,Muirhall WSZ
41440,WRNW17,Bulk Closure                                      ,18/05/2004,95,"208,130.00","666,884.00",South West,AP521R8857L505A0EG,PA200NW,ISLE OF BUTE,West,Loch Ascog WOA,Ascog WSZ
43517,WRNW17,All Complete                                      ,18/05/2004,,"353,836.00","826,012.00",North East,AP04DN8W6135C7A0K3,AB544NY,HUNTLY,East,Inver-Mann-Turriff WOA,Clatt Tillyangus (New) WSZ
43631,WRNW17,All Complete                                      ,18/05/2004,33,"291,578.00","691,718.00",South West,APM3J5806TK4C9N0MM,FK104ES,CLACKMANNAN,West,Turret West Region WOA,Kennet WSZ
43706,WRNW17,All Complete with Comments                        ,18/05/2004,1,"330,938.00","669,415.00",South East,APKKHX895L541CYGDH,EH221QG,DALKEITH,South,Glencorse WOA,Gilmerton PRV WSZ
43802,WRNW17,All Complete                                      ,18/05/2004,33,"318,521.00","693,097.00",North East,APPMG4895CD4DXW0EH,KY59BL,LOCHGELLY,East,Glendevon WOA,Lochgelly Spion Kop WSZ
43862,WRNW17,All Complete                                      ,18/05/2004,57,"311,494.00","968,627.00",North West,APM8DX8K5X55109GRQ,KW148BQ,THURSO,North,Loch Calder WOA,Ormlie WSZ
43987,WRNW17,All Complete                                      ,19/05/2004,,"324,819.00","676,955.00",South East,APHKB3815Q5552RGA9,EH53RX,EDINBURGH,South,Marchbank WOA,Marchbank Hermiston WSZ
44109,WRNW17,All Complete                                      ,19/05/2004,,"392,466.00","797,991.00",North East,AP53AC8N5VU4FBWG7M,AB124RD,ABERDEEN,East,Invercannie & Mannofield WOA,Bluehill WSZ
44161,WRNW17,All Complete with Comments                        ,19/05/2004,9,"324,604.00","668,519.00",South East,APUK2L8W5Q941XNG0R,EH106RJ,EDINBURGH,South,Rosebery (Ed & Lothian) WOA,Hillend High WSZ
44165,WRNW17,All Complete                                      ,19/05/2004,143,"320,944.00","675,475.00",South East,APDD228150L44BNGV1,EH45AG,EDINBURGH,South,Glencorse WOA,Blackhall/Davidson's Mains WSZ
44441,WRNW17,All Complete                                      ,19/05/2004,,"324,857.00","672,803.00",South East,APD88089AQR631GG9H,EH39QT,EDINBURGH,South,Glencorse WOA,Morningside/Grange WSZ
44444,WRNW17,All Complete                                      ,19/05/2004,,"324,857.00","672,803.00",South East,APD88089AQR631GG9H,EH39QT,EDINBURGH,South,Glencorse WOA,Morningside/Grange WSZ
44449,WRNW17,All Complete                                      ,19/05/2004,,"324,633.00","672,128.00",South East,APK02F8W6QB43PNGTR,EH104EB,EDINBURGH,South,Glencorse WOA,Morningside/Grange WSZ
44455,WRNW17,All Complete with Comments                        ,19/05/2004,3,"323,578.00","674,514.00",South East,APM9208156944VN0K1,EH42EW,EDINBURGH,South,Glencorse WOA,Craigleith WSZ
44456,WRNW17,All Complete with Comments                        ,19/05/2004,11,"328,383.00","673,606.00",South East,APY31T8H5Y543EN0D1,EH87JN,EDINBURGH,South,Glencorse WOA,Meadowfield WSZ
44459,WRNW17,All Complete with Comments                        ,19/05/2004,107,"293,740.00","668,131.00",South East,APRHDH8P5YA41QUGJW,EH483JR,BATHGATE,South,Balmore South Region Tweed WOA,East Craigs WSZ
44462,WRNW17,All Complete                                      ,19/05/2004,2,"324,395.00","668,525.00",South East,APPP2L8D57V41XN05R,EH106RS,EDINBURGH,South,Rosebery (Ed & Lothian) WOA,Hillend High WSZ
44466,WRNW17,All Complete                                      ,19/05/2004,5,"320,123.00","673,084.00",South East,APPXGH895F1435T0FH,EH126XF,EDINBURGH,South,Glencorse WOA,East Craigs/N. Corstorphine WSZ
44468,WRNW17,All Complete                                      ,19/05/2004,11,"324,856.00","672,643.00",South East,APK2268D5QR43YN0XR,EH39NF,EDINBURGH,South,Glencorse WOA,Morningside/Grange WSZ
44470,WRNW17,All Complete                                      ,19/05/2004,10,"320,843.00","669,028.00",South East,APPJ278D50X416NGUR,EH130LS,EDINBURGH,South,Glencorse WOA,Comiston Rd North WSZ
44472,WRNW17,All Complete                                      ,19/05/2004,25,"329,527.00","668,455.00",South East,APFKF6895HW41WTGCH,EH178RL,EDINBURGH,South,Glencorse WOA,Gilmerton PRV WSZ
44552,WRNW17,All Complete with Comments                        ,19/05/2004,,"350,772.00","615,002.00",South East,AP8D7F815BD57TA063,TD99NP,HAWICK,South,Roberton WOA,Crumhaugh Hill WSZ
45181,WRNW17,All Complete with Comments                        ,20/05/2004,49,"259,572.00","659,721.00",South West,AP67BK8C5V34WMQ083,G445JS,GLASGOW,West,Balmore West Region WOA,Castlemilk Low WSZ
45248,WRNW17,All Complete                                      ,20/05/2004,,"299,318.00","559,785.00",South East,AP8M7V8D59H6WPG0C6,DG28DS,DUMFRIES,South,Cargen Borehole WOA,Airdrie WSZ
45250,WRNW17,Cancelled with comments                           ,20/05/2004,27,"278,561.00","609,574.00",South East,AP2KF68V5H6545E0T4,DG46AZ,SANQUHAR,South,Afton South Region WOA,Sanquhar Burgh WSZ
45253,WRNW17,All Complete                                      ,20/05/2004,5,"233,959.00","543,512.00",South East,APGVAT8W5A25MPE0M2,DG89SL,NEWTON STEWART,South,Penwhirn WOA,Elrig WSZ
45256,WRNW17,All Complete                                      ,20/05/2004,,"350,494.00","615,077.00",South East,APNDBW816AU57UEGNB,TD99LF,HAWICK,South,Roberton WOA,Crumhaugh Hill WSZ
45257,WRNW17,All Complete                                      ,20/05/2004,,"206,161.00","560,555.00",South East,AP466U8D5495W2A0M0,DG97AF,STRANRAER,South,Auchneel WOA,Auchneel WSZ
45259,WRNW17,All Complete with Comments                        ,20/05/2004,,"299,318.00","559,785.00",South East,AP8M7V8D59H6WPG0C6,DG28DS,DUMFRIES,South,Cargen Borehole WOA,Airdrie WSZ
45264,WRNW17,All Complete with Comments                        ,20/05/2004,27,"278,561.00","609,574.00",South East,AP2KF68V5H6545E0T4,DG46AZ,SANQUHAR,South,Afton South Region WOA,Sanquhar Burgh WSZ
45267,WRNW17,All Complete with Comments                        ,20/05/2004,5,"233,959.00","543,512.00",South East,APGVAT8W5A25MPE0M2,DG89SL,NEWTON STEWART,South,Penwhirn WOA,Elrig WSZ
45269,WRNW17,All Complete                                      ,20/05/2004,,"350,494.00","615,077.00",South East,APNDBW816AU57UEGNB,TD99LF,HAWICK,South,Roberton WOA,Crumhaugh Hill WSZ
45271,WRNW17,All Complete with Comments                        ,20/05/2004,,"206,161.00","560,555.00",South East,AP466U8D5495W2A0M0,DG97AF,STRANRAER,South,Auchneel WOA,Auchneel WSZ
45576,WRNW17,All Complete                                      ,21/05/2004,,"325,325.00","639,891.00",South East,APTB9H895R65KYE0FH,EH459ER,PEEBLES,South,Bonnycraig (Peebles) WOA,Bonnycraig WSZ
45623,WRNW17,All Complete                                      ,21/05/2004,60,"394,090.00","805,047.00",North East,APNU988M5YG42XTGHM,AB117TD,ABERDEEN,East,Invercannie & Mannofield WOA,Mannofield WSZ
45671,WRNW17,All Complete                                      ,21/05/2004,14,"413,409.00","846,011.00",North East,AP2W4L8R5JE5NX70WG,AB421DU,PETERHEAD,East,Forehill WOA,FH WTW Gravity 18 inch WSZ
45787,WRNW17,All Complete                                      ,21/05/2004,5,"363,238.00","828,278.00",North East,APCT4Q855KQ5D97GPK,AB526LA,INSCH,East,Inver-Mann-Turriff WOA,Inschfield WSZ
45895,WRNW17,All Complete                                      ,21/05/2004,1,"331,261.00","673,495.00",South East,AP1B18815MA43CNGU9,EH152EZ,EDINBURGH,South,Glencorse WOA,Magdalene/Portobello East WSZ
45896,WRNW17,All Complete                                      ,21/05/2004,1,"331,261.00","673,495.00",South East,AP1B18815MA43CNGU9,EH152EZ,EDINBURGH,South,Glencorse WOA,Magdalene/Portobello East WSZ
45898,WRNW17,All Complete                                      ,21/05/2004,,"344,547.00","669,074.00",South East,AP796N8W5Y8417Y0AT,EH345DN,TRANENT,South,Rosebery (Ed & Lothian) WOA,Fountainhall WSZ
45900,WRNW17,All Complete                                      ,21/05/2004,12,"325,802.00","676,632.00",South East,APPC1P8H5T445WN0P1,EH64QH,EDINBURGH,South,Marchbank WOA,Marchbank Hermiston WSZ
45902,WRNW17,All Complete                                      ,21/05/2004,3,"324,216.00","671,657.00",South East,APKL2K8D57142FNGPR,EH105ED,EDINBURGH,South,Glencorse WOA,Morningside/Grange WSZ
